"User Target","Week Duration","Prior Knowledge","Description","Important Technology Keywords"
"Backend Developer","21","Basic Statistics","I've been building web scrapers and automation scripts in Python for a while now and I'm comfortable with the language, but I've never built an actual web application backend and I want to make that transition into professional backend development. FastAPI seems like the best choice for me because it's Python, it's fast, and it generates API documentation automatically which is really elegant. I need to understand database design properly, not just how to write queries but how to design schemas that don't cause problems later. PostgreSQL for relational data and learning about database normalization and indexes. Authentication and authorization are things I need to understand deeply because most APIs need them. Eventually I want to understand how to scale backend services and handle high traffic, which means learning about caching with Redis and maybe message queues.","Python, FastAPI, PostgreSQL, Database Design, Schema Design, Authentication, Redis, API Development"
"Data Scientist","20","Basic Statistics","I have a background in statistics from my university program and I can do hypothesis testing and regression analysis, but everything was done with SPSS and I realize that's basically useless in industry. I need to learn Python for data science, and I want to leverage my stats background to go deeper into machine learning than most beginners can. Bayesian statistics is an area I want to explore because I think the frequentist vs Bayesian distinction is really important and I'm mostly frequentist trained. I want to understand how to apply ML algorithms properly including cross-validation, regularization, and hyperparameter tuning. Natural language processing is interesting to me as an application area. Building models and then creating clear visualizations and narratives to explain them to non-technical stakeholders is a skill I want to develop.","Python, Bayesian Statistics, Machine Learning, Cross-validation, Regularization, NLP, Data Visualization, Storytelling"
"Cybersecurity Professional","12","Basic Networking","I work in IT support right now and I see security incidents happen all the time and nobody seems to know how to properly respond, so I decided I'm going to become the person who does know. I already understand basic networking from my job, so I want to skip the basics and move into security operations center work specifically, learning how to use SIEM tools like Splunk to detect and analyze threats. I also want to understand malware analysis at a basic level so I can look at suspicious files and figure out what they do. Digital forensics is another area that interests me because I want to be able to preserve evidence properly during incidents. My target certification is the CompTIA CySA+ because it focuses on analyst skills.","SIEM, Splunk, Threat Detection, Malware Analysis, Digital Forensics, Incident Response, CompTIA CySA+"
"Full-Stack Developer","22","Excel and SQL","I graduated with a CS degree a couple of years ago but I studied mostly theory and data structures and algorithms, and I've realized the industry wants practical web development skills that my program didn't cover well. I'm comfortable with programming logic and I've used Python a lot, but I need to learn the web stack specifically. I want to get solid with React on the frontend and then build backends with either FastAPI or Django REST Framework since I already know Python. GraphQL is something that interests me as an alternative to REST APIs. I also want to learn cloud deployment, specifically AWS or GCP, because knowing how to deploy your application to production seems essential. TypeScript over plain JavaScript also seems worth learning given how large codebases get.","React, Python, FastAPI, Django REST Framework, GraphQL, AWS, TypeScript"
"Cybersecurity Professional","9","Basic Linux","I have always been fascinated by how hackers can break into systems, and I want to dedicate my career to Cybersecurity. I think I need to start with the basics of networking, like understanding how IP addresses and DNS work, because you can't protect a network if you don't know how it talks. After that, I want to dive deep into Linux because I heard most security tools run on it. I also really want to learn about penetration testing and ethical hacking specifically so I can find vulnerabilities before the bad guys do. Oh, and I shouldn't forget about learning some Python for automation, and eventually, I want to get certified, maybe something like the CompTIA Security+ or even the CEH.","Networking, IP/DNS, Linux, Penetration Testing, Ethical Hacking, Python, CompTIA Security+, CEH"
"Backend Developer","12","Basic Java","I learned some Java in college and I want to build on that foundation to become a professional backend developer. The Java ecosystem for backend development seems really mature and there are lots of enterprise jobs. Spring Boot seems to be the dominant framework for Java web services so that's my main focus. I want to understand dependency injection and how Spring manages application components, RESTful web services with Spring MVC, and database access with Spring Data JPA and Hibernate. Microservices architecture is something I'm really interested in because it's how modern large systems are built. That means also understanding service discovery, API gateways, and inter-service communication patterns. AWS deployment and maybe getting the AWS Developer Associate certification would round things out nicely.","Java, Spring Boot, Spring MVC, JPA, Hibernate, Microservices, API Gateway, AWS Developer Associate"
"Cloud Architect","16","Basic Python","I write Python scripts at my current job for automation and I've somehow never gotten into cloud even though everything I work with runs on AWS. My manager wants me to take on more cloud infrastructure responsibilities and I've decided this is actually the direction I want my career to go. I want to start with the AWS fundamentals, really understand the core services and how they connect, rather than just knowing enough to get by. Infrastructure as Code with Terraform or CloudFormation is something I need to learn because manual console clicking doesn't scale and isn't reproducible. Lambda functions and serverless architecture seem fascinating for event-driven workloads. I'm aiming for the AWS Solutions Architect Associate certification as a concrete milestone within four months.","AWS, Lambda, Serverless, Terraform, CloudFormation, IAM, VPC, AWS Solutions Architect Associate"
"Data Analyst","15","Basic SQL","So I studied business in college and I know a little SQL from one class but honestly I've forgotten most of it, and now I'm working in operations and my manager keeps asking for reports that take me forever to build manually. I want to properly learn SQL first and get comfortable with things like joins, window functions, and subqueries, because that seems like the foundation. Then I want to learn Python specifically for data work, so pandas and NumPy and maybe some matplotlib for making charts. I also want to understand statistics better because I struggle to explain what the numbers actually mean to stakeholders. Maybe A/B testing methodology too. Eventually I'd love to get a Google Data Analytics certificate to have something official on my resume.","SQL, Joins, Window Functions, Python, Pandas, NumPy, Matplotlib, Statistics, Google Data Analytics"
"Full-Stack Developer","14","Excel","I graduated with a CS degree a couple of years ago but I studied mostly theory and data structures and algorithms, and I've realized the industry wants practical web development skills that my program didn't cover well. I'm comfortable with programming logic and I've used Python a lot, but I need to learn the web stack specifically. I want to get solid with React on the frontend and then build backends with either FastAPI or Django REST Framework since I already know Python. GraphQL is something that interests me as an alternative to REST APIs. I also want to learn cloud deployment, specifically AWS or GCP, because knowing how to deploy your application to production seems essential. TypeScript over plain JavaScript also seems worth learning given how large codebases get.","React, Python, FastAPI, Django REST Framework, GraphQL, AWS, TypeScript"
"Cloud Architect","16","Some Cloud Experience","I've been dabbling with AWS for about a year, mostly just launching EC2 instances and messing with S3 buckets, but I want to go much deeper and actually understand cloud architecture properly so I can design real production systems. I want to learn how to design for high availability and disaster recovery because those are the things that separate junior from senior cloud work. Multi-region architectures, auto-scaling groups, and load balancing are all areas I need to get solid on. I also want to understand cloud cost optimization because companies care deeply about their AWS bills and being able to reduce costs is a valuable skill. Moving into serverless with Lambda and understanding event-driven architectures is exciting to me. I want to achieve both the AWS SAA and the GCP Professional Cloud Architect certs.","AWS, High Availability, Disaster Recovery, Auto Scaling, Serverless, AWS Lambda, GCP, Cloud Cost Optimization"
"QA Engineer","9","Beginner","I've been doing manual QA testing at my company for a year and I'm pretty good at finding bugs, but I want to move into automation testing because it's so much more scalable and that's where the good jobs are. Python is my language choice for automation and I want to learn Selenium or Playwright for browser automation testing. Understanding the different types of testing, unit, integration, end-to-end, and when to use each is something I need to build up. API testing with tools like Postman and then automating that with Python's requests library is very practical. I want to learn a testing framework like pytest properly because just writing scripts isn't enough, you need structure and reporting. Performance testing with JMeter or Locust is also interesting to me for finding bottlenecks under load.","Python, Selenium, Playwright, API Testing, Postman, Pytest, JMeter, Locust, Test Automation"
"AI Engineer","14","Beginner","I'm currently finishing my computer science degree and I've taken an ML elective that got me completely hooked, and now I'm pivoting my entire career plan toward AI engineering rather than traditional software development. I understand the fundamentals of algorithms and data structures well, and I have decent Python skills, but I need to specialize into the AI stack specifically. I want to understand how to work with large language models through APIs and also how to fine-tune open-source models like Llama or Mistral for specific use cases. Building RAG systems with vector databases like Chroma or Pinecone is something I want hands-on experience with. I also want to understand how to evaluate AI systems properly because getting good outputs isn't enough if you can't measure it systematically.","LLM, Fine-tuning, Llama, Mistral, RAG, Chroma, Pinecone, AI Evaluation, Python"
"Full-Stack Developer","18","Basic HTML/CSS","I've been tinkering with JavaScript for about a year on my own, making small interactive things, but I want to go from hobbyist to professional level. I need to fill the gaps in my JavaScript knowledge first, especially async/await, promises, and how the event loop works because I find those confusing. Then I want to commit to React and really understand it deeply, including hooks, context API, and state management with Redux. On the backend I'm going to learn Node with Express to build APIs and understand things like authentication with JWT and OAuth. Docker is something I keep seeing in job descriptions and I want to understand containerization. Also need to get comfortable with Git workflows because I've only used it solo and collaborative git seems different.","JavaScript, Async/Await, React, Redux, Node.js, Express, JWT, Docker, Git"
"Mobile App Developer","17","Some JavaScript","I've been building web apps with React for about a year and I love it, but I really want to get into mobile app development because I use apps constantly and I want to build them. Since I know React already, React Native seems like the obvious path because you can build both iOS and Android from one codebase, which is extremely appealing. I want to understand how React Native differs from regular React, especially around navigation with React Navigation, accessing native device features, and dealing with the differences between iOS and Android. I also want to understand how to publish apps to both the App Store and Google Play, including all the signing and deployment complexity. Expo seems like a great way to start. State management with Redux or Zustand translates from web so that's good.","React Native, Expo, React Navigation, iOS, Android, App Store, Google Play, Redux, Zustand"
"AI Engineer","15","College CS","I'm currently finishing my computer science degree and I've taken an ML elective that got me completely hooked, and now I'm pivoting my entire career plan toward AI engineering rather than traditional software development. I understand the fundamentals of algorithms and data structures well, and I have decent Python skills, but I need to specialize into the AI stack specifically. I want to understand how to work with large language models through APIs and also how to fine-tune open-source models like Llama or Mistral for specific use cases. Building RAG systems with vector databases like Chroma or Pinecone is something I want hands-on experience with. I also want to understand how to evaluate AI systems properly because getting good outputs isn't enough if you can't measure it systematically.","LLM, Fine-tuning, Llama, Mistral, RAG, Chroma, Pinecone, AI Evaluation, Python"
"Data Scientist","20","Basic R","I did some basic statistics analysis in R during my undergraduate research and I found it surprisingly enjoyable, and now I want to build a proper data science career. I know I need to transition to Python because that's where most of the industry is, even though R is great for statistics. The core Python data stack of numpy, pandas, matplotlib, and seaborn seems like my starting point. Then I want to get deep into machine learning with scikit-learn and understand when to use which algorithm. Statistical modeling is something I want to be genuinely good at, understanding things like regression deeply, not just calling fit. I'm particularly interested in time series analysis because financial and business data is often temporal. Jupyter notebooks and being able to communicate analysis clearly through them is also important.","Python, NumPy, Pandas, Matplotlib, Scikit-learn, Statistical Modeling, Time Series, Jupyter"
"Backend Developer","17","Basic Python","I've been building web scrapers and automation scripts in Python for a while now and I'm comfortable with the language, but I've never built an actual web application backend and I want to make that transition into professional backend development. FastAPI seems like the best choice for me because it's Python, it's fast, and it generates API documentation automatically which is really elegant. I need to understand database design properly, not just how to write queries but how to design schemas that don't cause problems later. PostgreSQL for relational data and learning about database normalization and indexes. Authentication and authorization are things I need to understand deeply because most APIs need them. Eventually I want to understand how to scale backend services and handle high traffic, which means learning about caching with Redis and maybe message queues.","Python, FastAPI, PostgreSQL, Database Design, Schema Design, Authentication, Redis, API Development"
"DevOps Engineer","12","Basic Linux","I'm a developer who is tired of the 'works on my machine' problem and I want to deeply understand the deployment and operations side of software. I know Linux at a surface level from using it as my development OS, but I want to get much more comfortable with shell scripting and system administration tasks. Docker seems like the most fundamental thing to learn first because containers solve so many environment consistency problems. Then Kubernetes for orchestrating those containers at scale. I want to set up proper CI/CD pipelines using Jenkins or GitHub Actions so deployments become automated and reliable. Monitoring with Prometheus and Grafana is something that seems really important for actually knowing if your system is healthy. Terraform for infrastructure as code is on my list too.","Linux, Shell Scripting, Docker, Kubernetes, CI/CD, GitHub Actions, Prometheus, Grafana, Terraform"
"AI Engineer","16","Intermediate Python","I've been writing Python for a few years now doing backend web development, but the AI revolution has me completely hooked and I want to pivot my career toward building AI-powered applications. My Python is solid so I don't need to start from scratch, but I need to deeply learn the ML and AI ecosystem. I want to understand how to use the major LLM APIs like OpenAI and Anthropic and build production applications around them, including implementing RAG pipelines with vector databases like Pinecone or Weaviate. LangChain seems to be the framework everyone uses for chaining these things together. I also want to understand fine-tuning models and have a solid grasp of prompt engineering best practices. Understanding how transformers actually work at a conceptual level would help me make better architectural decisions.","LLM APIs, OpenAI, Anthropic API, RAG, Vector Databases, LangChain, Fine-tuning, Prompt Engineering, Transformers"
"DevOps Engineer","20","Basic HTML/CSS","I'm a sysadmin who wants to evolve into a proper DevOps engineer because I see the field shifting toward automation and cloud and I don't want to be left behind doing manual server maintenance forever. My Linux skills are solid which gives me a good base. The biggest gap is that I don't program well enough for real DevOps work, so I need to learn Python scripting more seriously and also bash scripting beyond the basics I know. Docker and Kubernetes are the containerization tools I need to master. CI/CD pipelines with Jenkins or GitLab CI for automating software delivery. Ansible for configuration management and automating the server setup work I currently do manually. Getting the AWS DevOps Engineer Professional certification or at least the associate level would validate the transition.","Linux, Python, Bash, Docker, Kubernetes, Jenkins, GitLab CI, Ansible, AWS DevOps"
"UI/UX Designer","14","None","I've always been the person who notices when apps are confusing or when websites feel frustrating, and my friends always say I give good feedback on design, so I want to turn that instinct into a real career in UX design. I know nothing technical about design tools so I need to start from scratch. Figma seems to be THE tool right now for UI design and prototyping so that's my main focus. I want to understand user research methodologies because good design starts with understanding real users, including how to conduct usability tests and user interviews. Information architecture and how to structure navigation so users aren't lost. Understanding design systems and component libraries so designs are consistent. Accessibility and WCAG guidelines because inclusive design matters ethically and legally. Building a portfolio of case studies is critical for getting hired.","Figma, UI Design, UX Research, Usability Testing, Information Architecture, Design Systems, Accessibility, WCAG"
"Cloud Architect","15","Basic Networking","I've spent several years in on-premise IT and I can see the writing on the wall that everything is moving to cloud, so I need to make this transition now before I become obsolete. I have solid networking fundamentals which I'm told is actually a huge advantage for cloud because so much of cloud architecture is just networking abstracted. I want to start with AWS because it's the biggest and most jobs are there, learning core services like EC2, S3, VPC, and IAM first. Then I want to understand Infrastructure as Code using Terraform because nobody manually clicks through consoles in production. Kubernetes is something I want to understand for container orchestration even though it's complex. My goal certification is the AWS Solutions Architect Associate and then the Professional level.","AWS, EC2, S3, VPC, IAM, Terraform, Kubernetes, AWS Solutions Architect"
"Frontend Developer","12","Basic HTML/CSS","I've been making simple websites as a hobby for a couple years, just HTML and CSS, and people always tell me they look nice, so I want to turn this into an actual job. The main thing I know I'm missing is JavaScript, which I've been avoiding because it seemed hard but I need to just commit and learn it properly. I want to start with vanilla JavaScript to understand the fundamentals and then move to React which every frontend job seems to require. CSS is actually something I want to go deeper on too, specifically Flexbox and Grid layouts, and also CSS animations because I love sites that feel alive. Responsive design for mobile is crucial since most traffic is mobile now. I also want to learn a UI component library like Material UI or Tailwind CSS to build things faster.","JavaScript, React, CSS, Flexbox, Grid, Responsive Design, Tailwind CSS, Material UI"
"Backend Developer","12","Basic Python","I learned some Java in college and I want to build on that foundation to become a professional backend developer. The Java ecosystem for backend development seems really mature and there are lots of enterprise jobs. Spring Boot seems to be the dominant framework for Java web services so that's my main focus. I want to understand dependency injection and how Spring manages application components, RESTful web services with Spring MVC, and database access with Spring Data JPA and Hibernate. Microservices architecture is something I'm really interested in because it's how modern large systems are built. That means also understanding service discovery, API gateways, and inter-service communication patterns. AWS deployment and maybe getting the AWS Developer Associate certification would round things out nicely.","Java, Spring Boot, Spring MVC, JPA, Hibernate, Microservices, API Gateway, AWS Developer Associate"
"Full-Stack Developer","14","Some JavaScript","I've been tinkering with JavaScript for about a year on my own, making small interactive things, but I want to go from hobbyist to professional level. I need to fill the gaps in my JavaScript knowledge first, especially async/await, promises, and how the event loop works because I find those confusing. Then I want to commit to React and really understand it deeply, including hooks, context API, and state management with Redux. On the backend I'm going to learn Node with Express to build APIs and understand things like authentication with JWT and OAuth. Docker is something I keep seeing in job descriptions and I want to understand containerization. Also need to get comfortable with Git workflows because I've only used it solo and collaborative git seems different.","JavaScript, Async/Await, React, Redux, Node.js, Express, JWT, Docker, Git"
"Full-Stack Developer","24","Basic HTML/CSS","I took a free HTML and CSS course online and built a tiny static website and I was so proud of it but then I realized that's like the very tip of the iceberg and I need to learn so much more. I want to become a full-stack developer because I love the idea of being able to build an entire product myself from the frontend to the backend. My plan is to get really solid at JavaScript first since it seems to run everything on the web, then learn React because every job posting wants it. For the backend I'm torn between Node.js and Python with Django, but I'm leaning Node so I only have to learn one language deeply. I also need to learn databases, probably PostgreSQL, and understand how REST APIs work because that's how everything talks to each other.","JavaScript, React, Node.js, PostgreSQL, REST APIs, HTML/CSS, Django"
"Full-Stack Developer","21","College CS","I graduated with a CS degree a couple of years ago but I studied mostly theory and data structures and algorithms, and I've realized the industry wants practical web development skills that my program didn't cover well. I'm comfortable with programming logic and I've used Python a lot, but I need to learn the web stack specifically. I want to get solid with React on the frontend and then build backends with either FastAPI or Django REST Framework since I already know Python. GraphQL is something that interests me as an alternative to REST APIs. I also want to learn cloud deployment, specifically AWS or GCP, because knowing how to deploy your application to production seems essential. TypeScript over plain JavaScript also seems worth learning given how large codebases get.","React, Python, FastAPI, Django REST Framework, GraphQL, AWS, TypeScript"
"QA Engineer","12","Basic Python","I've been doing manual QA testing at my company for a year and I'm pretty good at finding bugs, but I want to move into automation testing because it's so much more scalable and that's where the good jobs are. Python is my language choice for automation and I want to learn Selenium or Playwright for browser automation testing. Understanding the different types of testing, unit, integration, end-to-end, and when to use each is something I need to build up. API testing with tools like Postman and then automating that with Python's requests library is very practical. I want to learn a testing framework like pytest properly because just writing scripts isn't enough, you need structure and reporting. Performance testing with JMeter or Locust is also interesting to me for finding bottlenecks under load.","Python, Selenium, Playwright, API Testing, Postman, Pytest, JMeter, Locust, Test Automation"
"Backend Developer","12","Intermediate Python","I can write Python scripts and I've done some basic web scraping and automation, but I want to become a real backend developer who builds APIs and services that actual products depend on. Django is what I'm planning to start with because it's Python and it's very full-featured, and then I'll also learn FastAPI for when I need something lighter and faster. Understanding REST API design principles properly is important to me, not just making endpoints work but making them well-designed. PostgreSQL for databases with a solid understanding of how to write efficient queries and design schemas properly. Redis for caching because performance matters. And I want to understand message queues like RabbitMQ or Kafka eventually because distributed systems rely on them. Docker to containerize everything.","Python, Django, FastAPI, REST API, PostgreSQL, Redis, RabbitMQ, Docker"
"Game Developer","21","Basic Java","I know Python and I've made some basic stuff with Pygame which was fun but limited, and now I want to graduate to real game development. I'm torn between Unity with C# and Unreal Engine with C++ or Blueprints. I've decided to try Unreal because I want to work on high-fidelity games eventually and Unreal's graphics capabilities are just incredible. So I need to learn C++ properly which is a significant jump from Python. Unreal's Blueprints visual scripting system is also something I want to master because it's very powerful even without C++. Understanding shaders and materials in Unreal is important for making things look good. AI behavior trees for creating believable non-player characters is really interesting to me. I also need to understand level design principles beyond just programming.","Unreal Engine, C++, Blueprints, Shaders, Materials, AI Behavior Trees, Level Design, Game AI"
"Mobile App Developer","16","Basic SQL","I've been building web apps with React for about a year and I love it, but I really want to get into mobile app development because I use apps constantly and I want to build them. Since I know React already, React Native seems like the obvious path because you can build both iOS and Android from one codebase, which is extremely appealing. I want to understand how React Native differs from regular React, especially around navigation with React Navigation, accessing native device features, and dealing with the differences between iOS and Android. I also want to understand how to publish apps to both the App Store and Google Play, including all the signing and deployment complexity. Expo seems like a great way to start. State management with Redux or Zustand translates from web so that's good.","React Native, Expo, React Navigation, iOS, Android, App Store, Google Play, Redux, Zustand"
"Game Developer","20","Basic SQL","I know Python and I've made some basic stuff with Pygame which was fun but limited, and now I want to graduate to real game development. I'm torn between Unity with C# and Unreal Engine with C++ or Blueprints. I've decided to try Unreal because I want to work on high-fidelity games eventually and Unreal's graphics capabilities are just incredible. So I need to learn C++ properly which is a significant jump from Python. Unreal's Blueprints visual scripting system is also something I want to master because it's very powerful even without C++. Understanding shaders and materials in Unreal is important for making things look good. AI behavior trees for creating believable non-player characters is really interesting to me. I also need to understand level design principles beyond just programming.","Unreal Engine, C++, Blueprints, Shaders, Materials, AI Behavior Trees, Level Design, Game AI"
"Full-Stack Developer","19","Basic Python","I know Python reasonably well but I've only ever used it for scripting and data work, never for web development, and I want to build complete web applications. Django is my entry point for backend work since I already know Python and Django is very full-featured. But I also know I need to learn the frontend properly, which means diving into JavaScript and then React because that's just the standard these days. The thing that confuses me is how the frontend and backend connect, so understanding REST APIs and later maybe GraphQL is important. I also want to learn about authentication and user management since that's something every real app needs. Deployment is mysterious to me right now, but I want to understand how to get a Django and React application running on a cloud server.","Python, Django, JavaScript, React, REST API, GraphQL, Authentication, Cloud Deployment"
"Full-Stack Developer","16","College CS","I graduated with a CS degree a couple of years ago but I studied mostly theory and data structures and algorithms, and I've realized the industry wants practical web development skills that my program didn't cover well. I'm comfortable with programming logic and I've used Python a lot, but I need to learn the web stack specifically. I want to get solid with React on the frontend and then build backends with either FastAPI or Django REST Framework since I already know Python. GraphQL is something that interests me as an alternative to REST APIs. I also want to learn cloud deployment, specifically AWS or GCP, because knowing how to deploy your application to production seems essential. TypeScript over plain JavaScript also seems worth learning given how large codebases get.","React, Python, FastAPI, Django REST Framework, GraphQL, AWS, TypeScript"
"AI Engineer","18","Some JavaScript","I have a strong computer science background from my degree and I understand algorithms and data structures well, so I'm not starting from zero, I'm just need to specialize into AI properly. I want to fast-track into the modern AI engineering stack rather than spending too long on classical ML. My focus is on large language models and how to build reliable applications with them, including techniques like prompt engineering, RAG architecture, and understanding how to evaluate LLM outputs systematically. I also want to understand how to use tools like LlamaIndex and LangChain effectively for building agentic systems. MLflow for experiment tracking and Hugging Face for accessing pre-trained models are also on my list. I'm targeting AI engineering roles specifically, not research positions.","LLM, Prompt Engineering, RAG, LlamaIndex, LangChain, MLflow, Hugging Face, Agentic AI"
"Data Analyst","13","Excel","I manage a small e-commerce store and I'm drowning in spreadsheet chaos, like I have thirty different Excel files that need to be manually stitched together every month to understand how the business is doing. I want to learn data analysis properly so I can build a system that just works and gives me answers without all the manual pain. SQL seems like it would let me query my sales database directly instead of exporting everything. Python with pandas could help me automate the report building. And I've been eyeing Google Looker Studio to create a dashboard my small team can check anytime. I also want to understand cohort analysis and customer lifetime value calculations because those seem like the metrics that actually matter for e-commerce.","SQL, Python, Pandas, Google Looker Studio, Dashboard Design, Cohort Analysis, E-commerce Analytics"
"Mobile App Developer","17","Basic Statistics","I've been building web apps with React for about a year and I love it, but I really want to get into mobile app development because I use apps constantly and I want to build them. Since I know React already, React Native seems like the obvious path because you can build both iOS and Android from one codebase, which is extremely appealing. I want to understand how React Native differs from regular React, especially around navigation with React Navigation, accessing native device features, and dealing with the differences between iOS and Android. I also want to understand how to publish apps to both the App Store and Google Play, including all the signing and deployment complexity. Expo seems like a great way to start. State management with Redux or Zustand translates from web so that's good.","React Native, Expo, React Navigation, iOS, Android, App Store, Google Play, Redux, Zustand"
"Blockchain Developer","16","Intermediate Python","Blockchain technology has fascinated me since I first heard about Bitcoin years ago, and I've finally decided to stop watching from the sidelines and actually learn to build on these platforms. I have solid Python skills so programming concepts aren't new to me. Solidity is the first new language I need to learn since it's what Ethereum smart contracts are written in. I want to understand how the EVM works at a conceptual level because that affects how you write efficient contracts. Hardhat or Foundry for development frameworks and testing smart contracts. Web3.js or Ethers.js for connecting frontend applications to the blockchain. Understanding DeFi protocols and NFT standards like ERC-20 and ERC-721 is important for context. Security is huge in blockchain because smart contract bugs are irreversible and have cost millions.","Solidity, Ethereum, EVM, Hardhat, Foundry, Web3.js, Ethers.js, ERC-20, ERC-721, Smart Contract Security"
"Full-Stack Developer","19","College CS","I graduated with a CS degree a couple of years ago but I studied mostly theory and data structures and algorithms, and I've realized the industry wants practical web development skills that my program didn't cover well. I'm comfortable with programming logic and I've used Python a lot, but I need to learn the web stack specifically. I want to get solid with React on the frontend and then build backends with either FastAPI or Django REST Framework since I already know Python. GraphQL is something that interests me as an alternative to REST APIs. I also want to learn cloud deployment, specifically AWS or GCP, because knowing how to deploy your application to production seems essential. TypeScript over plain JavaScript also seems worth learning given how large codebases get.","React, Python, FastAPI, Django REST Framework, GraphQL, AWS, TypeScript"
"Data Analyst","16","Beginner","I'm a complete beginner but I'm super motivated because data is literally everywhere and I want to be someone who can make sense of it all. My friend works as a data analyst and she makes really good money and actually enjoys her job which is rare. I'm going to start with learning Excel properly since I barely use it beyond typing things in cells, and then move to SQL which apparently is the language databases use. I've heard of Python but that feels far away right now, maybe later. I really want to understand how to tell a story with data, like making dashboards in Tableau that actually make people go wow this is clear. I don't have a technical background at all but I'm willing to put in the hours.","Excel, SQL, Tableau, Data Visualization, Data Storytelling, Dashboard Design"
"Cloud Architect","23","Basic Java","I've been dabbling with AWS for about a year, mostly just launching EC2 instances and messing with S3 buckets, but I want to go much deeper and actually understand cloud architecture properly so I can design real production systems. I want to learn how to design for high availability and disaster recovery because those are the things that separate junior from senior cloud work. Multi-region architectures, auto-scaling groups, and load balancing are all areas I need to get solid on. I also want to understand cloud cost optimization because companies care deeply about their AWS bills and being able to reduce costs is a valuable skill. Moving into serverless with Lambda and understanding event-driven architectures is exciting to me. I want to achieve both the AWS SAA and the GCP Professional Cloud Architect certs.","AWS, High Availability, Disaster Recovery, Auto Scaling, Serverless, AWS Lambda, GCP, Cloud Cost Optimization"
"Cybersecurity Professional","23","None","I read about the Colonial Pipeline ransomware attack and the SolarWinds breach and it genuinely scared me how vulnerable critical infrastructure is, and then I thought, someone has to defend against this stuff, why not me. I'm starting from absolute zero but I'm motivated by something real, not just money, though the salaries are great too. I want to understand how the internet works at a protocol level, TCP/IP, HTTP, DNS, because security is about understanding what normal looks like so you can spot abnormal. Linux is something I'll need to get comfortable with. I want to understand the SOC analyst role first as an entry point, working with SIEM tools to analyze logs and detect threats. CompTIA Security+ seems like the right first certification and then maybe the CySA+.","TCP/IP, HTTP, DNS, Linux, SIEM, SOC, Log Analysis, CompTIA Security+, CySA+"
"Machine Learning Engineer","19","Basic Python","I've always been interested in how recommendation systems work, like how Netflix knows what I want to watch, or how Spotify creates those eerily perfect playlists, and I've decided I want to build those kinds of systems professionally. My Python is basic but I'm ready to go deep. I need to learn the math first I think, linear algebra and statistics and probability, because everyone says you can't really understand ML without it. Then scikit-learn for classical machine learning algorithms like regression, classification, and clustering. After that PyTorch for deep learning, specifically building neural networks. Feature engineering and understanding how to prepare data properly seems like a huge part of the actual job. MLflow for tracking experiments and eventually learning how to deploy models to production with something like FastAPI or Seldon.","Python, Linear Algebra, Statistics, Scikit-learn, PyTorch, Neural Networks, Feature Engineering, MLflow, Model Deployment"
"Cloud Architect","12","Basic Linux","I write Python scripts at my current job for automation and I've somehow never gotten into cloud even though everything I work with runs on AWS. My manager wants me to take on more cloud infrastructure responsibilities and I've decided this is actually the direction I want my career to go. I want to start with the AWS fundamentals, really understand the core services and how they connect, rather than just knowing enough to get by. Infrastructure as Code with Terraform or CloudFormation is something I need to learn because manual console clicking doesn't scale and isn't reproducible. Lambda functions and serverless architecture seem fascinating for event-driven workloads. I'm aiming for the AWS Solutions Architect Associate certification as a concrete milestone within four months.","AWS, Lambda, Serverless, Terraform, CloudFormation, IAM, VPC, AWS Solutions Architect Associate"
"Network Engineer","15","Excel and SQL","I've been in IT helpdesk for two years and I understand basic networking just from troubleshooting tickets, but I want to specialize properly and become a network engineer. Cisco seems to be the dominant vendor and CCNA seems like the gold standard entry certification so that's my primary target. I need to get really solid on routing protocols like OSPF and BGP because those are what make the internet actually work at scale. VLANs and switching concepts are things I encounter but don't fully understand. Network security basics including ACLs and firewalls overlap with my interests. I want to get hands-on practice with Cisco Packet Tracer and eventually real equipment. After CCNA I'm thinking CCNP as a follow-up. Understanding SD-WAN and modern network virtualization seems important for the future of the field.","Cisco, CCNA, OSPF, BGP, VLANs, ACLs, Network Security, Packet Tracer, CCNP, SD-WAN"
"Data Analyst","17","Basic Networking","I manage a small e-commerce store and I'm drowning in spreadsheet chaos, like I have thirty different Excel files that need to be manually stitched together every month to understand how the business is doing. I want to learn data analysis properly so I can build a system that just works and gives me answers without all the manual pain. SQL seems like it would let me query my sales database directly instead of exporting everything. Python with pandas could help me automate the report building. And I've been eyeing Google Looker Studio to create a dashboard my small team can check anytime. I also want to understand cohort analysis and customer lifetime value calculations because those seem like the metrics that actually matter for e-commerce.","SQL, Python, Pandas, Google Looker Studio, Dashboard Design, Cohort Analysis, E-commerce Analytics"
"Data Analyst","14","Excel","I've been using Excel for years at my marketing job and people always come to me for the spreadsheet stuff, but I feel like I've hit a ceiling and I need to level up properly. I keep hearing about SQL and how you need it to pull data from databases, and that sounds like something I absolutely have to learn because right now I'm just working with whatever someone exports for me. I also want to learn Tableau or Power BI because I've seen those beautiful interactive dashboards online and I want to make those for my company's executives. Python seems scary but everyone says pandas is great for data manipulation and it'd help me automate my repetitive Excel tasks. I want to transition into a proper analyst role within the year.","SQL, Excel, Tableau, Power BI, Python, Pandas, Data Visualization"
